ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
0.0,0.003976,0.005189,2.0,0.0,3.03,0.105389,0.004203,2.04,0.004297,6.6749,0.0,0.0,2.09,0.0,0.0,0.0,9.0,0.0,2.02,0.332866,0.0,0.001223,3.09,3.0,36.0,1.0,7.0,3.0,5.0,0.0,1.02,21.0,1.01,19.0,0.021657,0.017152,0.031521,3.04,2.74,8.0,4.14,3.0,0.0,2.0,1.0,2.09,0.000869,2.02,0.08216699999999999,2.2,4.0,0.010649,0.002227,0.027707,14.0,6.0,0.008929000000000001,4.28,0.209245,0.00477,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,3.0,6.0,4.0,1.0,0.0,0.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,0.0,0.0,-1
8.0,0.002264,0.0,7.0,0.0,0.0,0.032927,0.0,0.0,0.0,19.4361,0.0,1.01,1.01,0.0,0.0,1.0,34.0,0.00236,0.0,0.49789,0.0,0.000413,2.02,17.0,188.0,6.0,12.0,2.0,1.0,0.0,0.0,66.0,1.01,86.0,0.003474,0.0,0.009936,1.02,1.11,18.0,3.12,3.0,0.0,3.0,1.0,0.0,0.0,1.02,0.042112,1.01,8.0,0.002006,0.000713,0.00468,14.0,2.0,0.0016190000000000002,5.44,0.05424,0.0024530000000000003,-1
2.0,0.0,0.001689,3.0,0.0,0.0,0.061022,0.0,2.06,0.0,17.9064,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.454358,0.0,0.0,1.01,10.0,160.0,0.0,8.0,1.0,0.0,0.0,0.0,28.0,0.0,56.0,0.001682,0.0,0.00951,2.02,0.0,10.0,5.17,4.0,0.0,4.0,0.0,0.0,0.0,3.08,0.037487,0.0,5.0,0.001873,0.0,0.005933,0.0,6.0,0.003134,6.39,0.046823,0.0,1
1.0,0.005692,0.007865,3.0,0.0,6.14,0.109004,0.00172,5.09,0.004365,17.0697,0.0,1.03,5.11,0.0,4.0,0.0,32.0,0.000672,5.12,0.440287,6.09,0.0,6.22,9.0,120.0,0.0,21.0,1.0,19.0,0.005956,0.0,210.0,0.0,55.0,0.007188,0.005338,0.008612,3.05,7.42,24.0,7.42,9.0,0.0,6.0,0.0,2.03,0.0,6.09,0.038071,0.0,7.0,0.002715,0.0,0.007781999999999998,0.0,18.0,0.007726999999999999,8.66,0.05196,0.00621,-1
11.0,0.001314,0.0,3.0,0.0,1.01,0.185996,0.0,0.0,0.00151,11.5477,0.0,1.01,1.01,0.0,0.0,0.0,53.0,0.001176,1.01,0.429205,0.0,0.0,4.06,11.0,282.0,0.0,21.0,1.0,5.0,0.0,0.0,210.0,0.0,130.0,0.020234,0.00156,0.032098,3.04,1.21,15.0,3.16,10.0,0.0,10.0,0.0,0.0,0.0,3.04,0.080149,1.01,5.0,0.003569,0.001646,0.021081,6.0,9.0,0.013212,6.46,0.153375,0.001378,1
4.0,0.002212,0.00483,9.0,0.0,0.0,0.103528,0.002323,3.03,0.0,17.2611,0.0,1.02,1.01,0.0,0.0,0.0,28.0,0.002259,0.0,0.450399,0.0,0.0,4.13,11.0,115.0,0.0,11.0,1.0,0.0,0.0,0.0,55.0,0.0,60.0,0.008689,0.0,0.011426,2.05,1.1,11.0,6.25,5.0,2.0,5.0,3.0,1.01,0.0,3.04,0.040739,0.0,12.0,0.00415,0.0,0.006865,0.0,7.0,0.005521,6.64,0.066245,0.00233,1
0.0,0.0,0.0,1.0,0.0,0.0,0.001136,0.0,0.0,0.0,3.19695,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09499,0.0,0.0,0.0,1.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011819,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0312,0.0,-1
3.0,0.0,0.0,0.0,0.0,0.0,0.0033380000000000003,0.0,0.0,0.0,4.22329,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.11579,0.0,0.0,1.04,7.0,112.0,0.0,7.0,2.0,1.0,0.0,0.0,21.0,0.0,42.0,0.000785,0.0,0.005761,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012712,1.01,0.0,0.0,0.001646,0.0,29.0,2.0,0.0,2.18,0.033951,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.00027400000000000005,0.0,0.0,0.0,1.76682,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.061715,0.0,0.0,0.0,1.0,16.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033928,0.0,-1
