wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
10.0,1.0,0.0,4.0,10.0,45.0,2.0,2.0,10.0,2.0,10.0,0.0,0.0,0.0,0.271429,0.0,0.0,0.0,1.0,1.0,1
1.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
12.0,5.0,0.0,14.0,67.0,60.0,4.0,13.0,5.0,0.761364,772.0,1.0,0.0,0.976987,0.35,0.0,0.0,62.0,1.0,0.9167,-1
2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
4.0,1.0,0.0,8.0,22.0,4.0,1.0,7.0,3.0,0.833333,125.0,1.0,2.0,0.0,0.5,0.0,0.0,29.75,1.0,0.75,-1
1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,-1
13.0,5.0,0.0,7.0,60.0,74.0,3.0,6.0,8.0,0.841667,478.0,0.9,1.0,0.9749479999999999,0.292308,0.0,0.0,35.0,2.0,1.0,-1
5.0,1.0,0.0,2.0,16.0,10.0,1.0,1.0,5.0,2.0,182.0,0.0,0.0,0.0,0.9,0.0,0.0,35.4,1.0,0.8,-1
2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
1.0,3.0,0.0,5.0,2.0,0.0,5.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1
8.0,5.0,0.0,8.0,60.0,22.0,3.0,7.0,1.0,0.571429,258.0,1.0,2.0,0.985232,0.5,0.0,0.0,30.75,4.0,1.25,-1
4.0,2.0,0.0,25.0,7.0,4.0,25.0,0.0,2.0,0.916667,56.0,0.25,4.0,0.8461540000000001,0.44444399999999995,1.0,1.0,12.0,1.0,0.5,-1
3.0,1.0,0.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,-1
2.0,1.0,0.0,6.0,30.0,0.0,1.0,5.0,2.0,0.0,162.0,1.0,3.0,0.0,0.6,0.0,0.0,78.5,8.0,4.0,-1
1.0,3.0,0.0,6.0,2.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1
2.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,2.0,13.0,0.0,0.0,0.0,0.5,0.0,0.0,5.5,1.0,0.5,-1
3.0,1.0,0.0,15.0,46.0,0.0,1.0,14.0,2.0,0.5,575.0,1.0,0.0,0.0,0.666667,0.0,0.0,190.0,1.0,0.3333,-1
1.0,3.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1
19.0,1.0,0.0,17.0,57.0,123.0,1.0,16.0,11.0,0.8222219999999999,606.0,1.0,1.0,0.0,0.233918,0.0,0.0,30.368421,1.0,0.9474,-1
4.0,1.0,0.0,7.0,23.0,6.0,1.0,7.0,4.0,1.333333,261.0,1.0,0.0,0.0,0.6875,0.0,0.0,64.0,1.0,0.75,-1
29.0,5.0,0.0,10.0,109.0,318.0,7.0,7.0,8.0,0.763736,1541.0,1.0,1.0,0.9453440000000001,0.214286,0.0,0.0,51.241378999999995,16.0,3.1034,-1
4.0,1.0,0.0,5.0,32.0,6.0,2.0,3.0,3.0,2.0,526.0,0.0,0.0,0.0,0.416667,0.0,0.0,130.5,1.0,0.75,-1
17.0,1.0,0.0,3.0,25.0,44.0,2.0,2.0,15.0,0.675,177.0,1.0,2.0,0.0,0.3,1.0,1.0,9.117647,6.0,1.1176,-1
1.0,3.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,-1
4.0,1.0,0.0,2.0,10.0,4.0,1.0,1.0,3.0,0.666667,323.0,1.0,0.0,0.0,0.75,0.0,0.0,79.5,1.0,0.75,-1
12.0,5.0,0.0,11.0,67.0,48.0,4.0,10.0,5.0,0.77512,1410.0,1.0,0.0,0.976987,0.333333,0.0,0.0,113.33333300000001,3.0,1.3333,-1
2.0,1.0,0.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,1.0,-1
5.0,2.0,0.0,1.0,8.0,6.0,1.0,0.0,3.0,0.931818,139.0,0.181818,10.0,0.785714,0.416667,1.0,1.0,24.6,1.0,0.6,-1
4.0,1.0,0.0,3.0,22.0,6.0,1.0,3.0,4.0,2.0,174.0,0.0,0.0,0.0,0.875,0.0,0.0,42.5,1.0,0.75,-1
9.0,1.0,0.0,5.0,9.0,36.0,2.0,3.0,9.0,2.0,9.0,0.0,0.0,0.0,0.361111,0.0,0.0,0.0,1.0,1.0,-1
11.0,1.0,0.0,1.0,12.0,25.0,1.0,0.0,11.0,0.8,69.0,1.0,0.0,0.0,0.43181800000000004,0.0,0.0,4.818182,1.0,0.9091,-1
3.0,1.0,0.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,-1
11.0,2.0,0.0,4.0,30.0,31.0,2.0,2.0,8.0,0.733333,797.0,1.0,0.0,0.64,0.575758,1.0,1.0,71.181818,29.0,5.2727,-1
7.0,1.0,0.0,2.0,7.0,21.0,2.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,1.0,1.0,-1
16.0,1.0,0.0,12.0,74.0,68.0,1.0,11.0,12.0,0.816667,1356.0,1.0,2.0,0.0,0.1875,0.0,0.0,83.25,5.0,1.3125,-1
23.0,1.0,0.0,12.0,40.0,7.0,11.0,3.0,21.0,0.9625670000000001,427.0,0.264706,2.0,0.0,0.220779,1.0,1.0,16.086957,14.0,1.6087,-1
21.0,1.0,0.0,5.0,50.0,210.0,4.0,2.0,20.0,1.05,370.0,0.0,0.0,0.0,0.29932,0.0,0.0,16.52381,8.0,2.6189999999999998,1
2.0,6.0,0.0,7.0,25.0,1.0,1.0,6.0,1.0,0.0,198.0,1.0,7.0,0.997691,1.0,0.0,0.0,93.0,1.0,0.5,1
