wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1.0,3.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,2.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,0.0,0.0,-1
3.0,4.0,0.0,8.0,17.0,1.0,0.0,8.0,3.0,0.0,75.0,1.0,0.0,0.9642860000000001,0.666667,3.0,3.0,23.0,1.0,0.6667,-1
148.0,1.0,0.0,60.0,236.0,0.0,43.0,55.0,48.0,0.733909,9104.0,0.769231,9.0,0.0,0.147804,0.0,0.0,60.337838,34.0,4.5878,-1
10.0,3.0,0.0,16.0,31.0,29.0,0.0,16.0,9.0,0.722222,284.0,1.0,0.0,0.859649,0.269841,3.0,3.0,27.0,5.0,1.5,-1
35.0,1.0,0.0,47.0,35.0,595.0,47.0,35.0,35.0,2.0,35.0,0.0,0.0,0.0,0.081081,0.0,0.0,0.0,1.0,1.0,-1
3.0,4.0,0.0,9.0,21.0,3.0,0.0,9.0,2.0,1.5,119.0,1.0,0.0,0.9642860000000001,0.666667,2.0,4.0,38.333333,2.0,1.0,-1
94.0,1.0,0.0,5.0,126.0,413.0,1.0,4.0,10.0,0.802542,10760.0,0.272727,1.0,0.0,0.33871,0.0,0.0,113.117021,95.0,10.5426,-1
6.0,4.0,0.0,4.0,51.0,15.0,0.0,4.0,3.0,1.2,304.0,1.0,0.0,0.9152540000000001,0.366667,2.0,4.0,49.166667,1.0,0.8333,-1
3.0,4.0,0.0,8.0,22.0,3.0,0.0,8.0,2.0,1.5,124.0,1.0,0.0,0.9642860000000001,0.666667,3.0,4.0,38.0,2.0,1.0,-1
6.0,3.0,0.0,8.0,18.0,15.0,0.0,8.0,5.0,1.0,160.0,0.0,0.0,0.907407,0.5,0.0,0.0,25.5,2.0,1.0,-1
39.0,1.0,0.0,4.0,68.0,727.0,2.0,2.0,38.0,0.963158,537.0,0.0,0.0,0.0,0.16081900000000002,0.0,0.0,12.641026,3.0,1.1026,-1
4.0,4.0,0.0,13.0,45.0,2.0,1.0,13.0,3.0,0.916667,359.0,1.0,4.0,0.947368,0.5,3.0,6.0,86.75,1.0,0.75,-1
5.0,4.0,0.0,6.0,32.0,4.0,0.0,6.0,3.0,0.85,642.0,0.8,0.0,0.947368,0.5,3.0,3.0,126.4,22.0,4.8,-1
2.0,2.0,0.0,1.0,14.0,0.0,1.0,0.0,2.0,1.0,55.0,1.0,0.0,0.9714290000000001,0.75,1.0,1.0,25.5,1.0,0.5,-1
6.0,1.0,0.0,16.0,57.0,15.0,0.0,16.0,5.0,1.0,437.0,1.0,0.0,0.0,0.4,0.0,0.0,71.666667,2.0,1.1667,-1
3.0,4.0,0.0,7.0,23.0,3.0,0.0,7.0,3.0,1.5,188.0,1.0,0.0,0.9642860000000001,0.666667,2.0,4.0,59.666667000000004,3.0,1.3333,-1
