AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,isDefective
12.0,11.0,14.0,4.0,82.0,5.0,61.0,7.0,2195.0,165.0,1185.0,191.0,907.0,328.0,719.0,916.0,178.0,738.0,51.0,51.0,56.0,0.28,221.0,197.0,246.0,81.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
8.0,7.0,9.0,4.0,54.0,4.0,49.0,1.0,1945.0,209.0,1607.0,185.0,1096.0,65.0,19001.0,1049.0,172.0,877.0,45.0,26.0,45.0,0.04,256.0,217.0,277.0,128.0,1
5.0,5.0,6.0,2.0,37.0,5.0,27.0,5.0,1159.0,171.0,727.0,137.0,522.0,236.0,397.0,526.0,112.0,414.0,25.0,25.0,30.0,0.32,134.0,122.0,146.0,63.0,-1
2.0,2.0,2.0,1.0,21.0,1.0,9.0,3.0,166.0,15.0,55.0,13.0,26.0,40.0,20.0,30.0,10.0,20.0,4.0,5.0,4.0,0.73,9.0,10.0,9.0,10.0,-1
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,266.0,1.0,3.0,1.0,0.0,17.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.67,1.0,1.0,1.0,1.0,-1
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,29.0,3.0,5.0,2.0,2.0,15.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,-1
2.0,2.0,2.0,1.0,17.0,3.0,14.0,0.0,171.0,30.0,113.0,39.0,60.0,17.0,71.0,84.0,30.0,54.0,3.0,3.0,4.0,0.15,13.0,13.0,14.0,9.0,-1
3.0,3.0,3.0,1.0,19.0,0.0,14.0,5.0,290.0,24.0,160.0,45.0,78.0,98.0,85.0,114.0,34.0,80.0,8.0,8.0,11.0,0.61,29.0,29.0,33.0,18.0,-1
2.0,2.0,3.0,1.0,13.0,1.0,12.0,1.0,290.0,38.0,198.0,52.0,105.0,42.0,97.0,135.0,42.0,93.0,7.0,7.0,7.0,0.21,38.0,38.0,43.0,29.0,-1
5.0,5.0,7.0,3.0,44.0,4.0,31.0,9.0,311.0,35.0,185.0,34.0,122.0,89.0,94.0,124.0,28.0,96.0,15.0,14.0,24.0,0.48,30.0,28.0,39.0,19.0,1
6.0,6.0,11.0,1.0,47.0,4.0,35.0,9.0,575.0,60.0,381.0,65.0,245.0,135.0,179.0,243.0,50.0,193.0,23.0,23.0,61.0,0.35,70.0,70.0,124.0,21.0,1
5.0,5.0,5.0,1.0,58.0,4.0,36.0,18.0,110.0,7.0,36.0,8.0,20.0,51.0,23.0,28.0,8.0,20.0,5.0,5.0,5.0,1.42,5.0,5.0,5.0,1.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12.0,12.0,13.0,7.0,48.0,3.0,45.0,0.0,182.0,14.0,135.0,18.0,95.0,29.0,81.0,111.0,18.0,93.0,16.0,16.0,17.0,0.21,37.0,37.0,40.0,22.0,-1
5.0,4.0,6.0,2.0,32.0,5.0,23.0,4.0,2045.0,365.0,1326.0,313.0,840.0,320.0,632.0,868.0,200.0,668.0,42.0,31.0,61.0,0.24,262.0,251.0,315.0,134.0,1
4.0,4.0,5.0,3.0,44.0,6.0,24.0,12.0,179.0,23.0,71.0,23.0,39.0,60.0,36.0,47.0,12.0,35.0,7.0,7.0,9.0,0.85,11.0,11.0,14.0,9.0,1
5.0,5.0,6.0,3.0,36.0,5.0,26.0,4.0,4619.0,675.0,3010.0,684.0,2037.0,625.0,1312.0,1828.0,420.0,1408.0,36.0,36.0,49.0,0.21,550.0,550.0,649.0,342.0,1
2.0,2.0,3.0,1.0,20.0,3.0,14.0,3.0,753.0,145.0,451.0,147.0,253.0,157.0,220.0,287.0,108.0,179.0,7.0,7.0,8.0,0.35,70.0,70.0,74.0,44.0,1
22.0,22.0,26.0,1.0,94.0,10.0,84.0,0.0,148.0,19.0,84.0,3.0,68.0,40.0,46.0,65.0,4.0,61.0,22.0,22.0,26.0,0.48,22.0,22.0,26.0,1.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,1.0,1.0,1.0,8.0,1.0,8.0,0.0,55.0,7.0,31.0,13.0,21.0,15.0,14.0,17.0,5.0,12.0,1.0,1.0,1.0,0.48,3.0,3.0,3.0,3.0,1
2.0,2.0,2.0,1.0,10.0,1.0,9.0,0.0,74.0,10.0,43.0,19.0,25.0,15.0,18.0,23.0,8.0,15.0,2.0,2.0,2.0,0.35,6.0,6.0,6.0,4.0,-1
4.0,4.0,4.0,3.0,23.0,2.0,19.0,1.0,317.0,38.0,220.0,39.0,128.0,55.0,115.0,157.0,36.0,121.0,8.0,8.0,9.0,0.25,42.0,42.0,43.0,36.0,-1
10.0,10.0,21.0,1.0,89.0,12.0,49.0,12.0,143.0,19.0,49.0,3.0,37.0,30.0,16.0,25.0,3.0,22.0,10.0,10.0,21.0,0.61,10.0,10.0,21.0,1.0,-1
2.0,2.0,3.0,1.0,14.0,1.0,13.0,0.0,227.0,36.0,67.0,22.0,36.0,123.0,42.0,54.0,14.0,40.0,4.0,4.0,4.0,1.84,12.0,12.0,14.0,9.0,-1
5.0,4.0,6.0,1.0,33.0,2.0,26.0,2.0,585.0,60.0,383.0,57.0,279.0,45.0,232.0,308.0,56.0,252.0,42.0,30.0,44.0,0.12,76.0,62.0,80.0,23.0,1
4.0,4.0,4.0,1.0,24.0,2.0,19.0,0.0,291.0,41.0,177.0,37.0,113.0,32.0,108.0,140.0,37.0,103.0,13.0,13.0,16.0,0.18,32.0,32.0,38.0,12.0,1
7.0,7.0,8.0,2.0,54.0,3.0,39.0,7.0,610.0,49.0,353.0,44.0,247.0,120.0,175.0,239.0,40.0,199.0,23.0,23.0,27.0,0.34,64.0,61.0,72.0,19.0,1
3.0,3.0,4.0,2.0,28.0,2.0,19.0,6.0,322.0,37.0,194.0,51.0,132.0,82.0,89.0,120.0,32.0,88.0,12.0,12.0,13.0,0.42,31.0,31.0,35.0,19.0,1
8.0,6.0,10.0,4.0,57.0,6.0,40.0,10.0,3212.0,354.0,2064.0,348.0,1468.0,709.0,901.0,1254.0,243.0,1011.0,63.0,37.0,75.0,0.34,377.0,317.0,509.0,231.0,1
4.0,4.0,6.0,2.0,43.0,5.0,26.0,12.0,548.0,73.0,290.0,38.0,206.0,169.0,166.0,215.0,35.0,180.0,12.0,12.0,22.0,0.58,49.0,49.0,62.0,26.0,1
12.0,11.0,14.0,8.0,93.0,15.0,72.0,1.0,336.0,56.0,224.0,27.0,160.0,23.0,111.0,149.0,27.0,122.0,26.0,23.0,26.0,0.1,37.0,34.0,41.0,26.0,-1
5.0,5.0,6.0,2.0,39.0,3.0,29.0,6.0,1976.0,221.0,1253.0,264.0,828.0,381.0,624.0,881.0,280.0,601.0,29.0,29.0,30.0,0.3,201.0,188.0,223.0,102.0,-1
1.0,1.0,1.0,1.0,13.0,1.0,9.0,0.0,70.0,6.0,27.0,18.0,3.0,26.0,4.0,7.0,4.0,3.0,1.0,1.0,1.0,0.96,3.0,3.0,3.0,3.0,-1
4.0,4.0,5.0,3.0,40.0,4.0,22.0,4.0,494.0,63.0,251.0,46.0,159.0,55.0,126.0,172.0,43.0,129.0,9.0,9.0,13.0,0.22,47.0,47.0,55.0,33.0,1
2.0,2.0,3.0,1.0,13.0,2.0,10.0,1.0,140.0,25.0,85.0,26.0,40.0,25.0,45.0,64.0,20.0,44.0,6.0,6.0,7.0,0.29,19.0,19.0,20.0,15.0,-1
5.0,5.0,5.0,3.0,41.0,5.0,31.0,4.0,1517.0,213.0,947.0,254.0,588.0,344.0,479.0,612.0,165.0,447.0,17.0,16.0,18.0,0.36,135.0,134.0,148.0,99.0,1
4.0,4.0,5.0,2.0,36.0,3.0,22.0,5.0,1084.0,99.0,503.0,113.0,308.0,148.0,212.0,291.0,77.0,214.0,21.0,21.0,29.0,0.29,82.0,82.0,100.0,47.0,1
9.0,9.0,9.0,3.0,47.0,5.0,40.0,0.0,400.0,47.0,218.0,38.0,158.0,81.0,141.0,187.0,34.0,153.0,16.0,16.0,16.0,0.37,46.0,46.0,47.0,15.0,1
8.0,6.0,8.0,4.0,100.0,16.0,53.0,5.0,683.0,106.0,317.0,34.0,249.0,59.0,194.0,242.0,33.0,209.0,40.0,25.0,41.0,0.19,48.0,33.0,49.0,24.0,1
6.0,5.0,7.0,4.0,4294967289.0,3.0,21.0,1.0,304.0,47.0,211.0,72.0,140.0,35.0,97.0,142.0,43.0,99.0,13.0,10.0,15.0,0.17,45.0,41.0,51.0,31.0,-1
4.0,4.0,4.0,2.0,19.0,3.0,16.0,1.0,198.0,27.0,118.0,47.0,80.0,52.0,52.0,70.0,25.0,45.0,13.0,13.0,15.0,0.44,22.0,22.0,25.0,13.0,-1
4.0,4.0,5.0,2.0,23.0,2.0,19.0,2.0,484.0,63.0,358.0,129.0,232.0,62.0,144.0,205.0,71.0,134.0,14.0,14.0,15.0,0.17,65.0,65.0,77.0,37.0,1
5.0,5.0,8.0,5.0,52.0,7.0,34.0,2.0,145.0,19.0,77.0,19.0,60.0,25.0,38.0,48.0,10.0,38.0,9.0,9.0,14.0,0.32,10.0,10.0,15.0,10.0,-1
5.0,5.0,5.0,4.0,4294967253.0,3.0,23.0,2.0,315.0,41.0,215.0,67.0,139.0,61.0,96.0,134.0,41.0,93.0,16.0,16.0,16.0,0.28,37.0,37.0,40.0,34.0,1
3.0,3.0,5.0,2.0,24.0,2.0,16.0,2.0,238.0,26.0,126.0,58.0,85.0,68.0,46.0,61.0,25.0,36.0,11.0,11.0,19.0,0.54,17.0,17.0,26.0,11.0,-1
4.0,4.0,4.0,3.0,23.0,3.0,20.0,0.0,293.0,38.0,200.0,80.0,137.0,50.0,91.0,121.0,40.0,81.0,12.0,12.0,13.0,0.25,31.0,31.0,34.0,25.0,-1
6.0,6.0,8.0,3.0,39.0,5.0,30.0,3.0,2108.0,295.0,1310.0,258.0,853.0,357.0,572.0,790.0,188.0,602.0,32.0,32.0,60.0,0.27,235.0,235.0,321.0,126.0,1
9.0,9.0,10.0,5.0,65.0,7.0,49.0,6.0,1117.0,138.0,753.0,197.0,548.0,190.0,357.0,416.0,105.0,311.0,40.0,40.0,45.0,0.25,117.0,114.0,131.0,73.0,1
12.0,12.0,15.0,4.0,65.0,4.0,54.0,6.0,2252.0,181.0,1671.0,274.0,1114.0,324.0,747.0,1063.0,196.0,867.0,72.0,72.0,75.0,0.19,347.0,345.0,423.0,142.0,1
5.0,5.0,6.0,2.0,39.0,4.0,30.0,5.0,181.0,24.0,114.0,38.0,73.0,37.0,52.0,67.0,23.0,44.0,13.0,13.0,17.0,0.32,15.0,15.0,19.0,8.0,1
6.0,6.0,7.0,2.0,56.0,5.0,36.0,15.0,1006.0,102.0,608.0,123.0,427.0,293.0,279.0,359.0,69.0,290.0,50.0,50.0,70.0,0.48,90.0,90.0,114.0,35.0,1
2.0,2.0,2.0,1.0,16.0,2.0,12.0,2.0,137.0,22.0,81.0,43.0,50.0,26.0,39.0,47.0,24.0,23.0,3.0,3.0,3.0,0.32,8.0,8.0,8.0,5.0,1
3.0,3.0,3.0,2.0,18.0,3.0,14.0,1.0,160.0,29.0,98.0,51.0,58.0,25.0,46.0,59.0,26.0,33.0,8.0,8.0,9.0,0.26,13.0,13.0,14.0,10.0,1
4.0,4.0,4.0,2.0,25.0,4.0,18.0,3.0,372.0,49.0,173.0,59.0,114.0,137.0,92.0,116.0,38.0,78.0,10.0,10.0,14.0,0.79,28.0,28.0,34.0,18.0,1
6.0,6.0,8.0,3.0,47.0,6.0,34.0,5.0,1235.0,154.0,709.0,166.0,477.0,143.0,382.0,483.0,116.0,367.0,26.0,26.0,37.0,0.2,115.0,115.0,153.0,65.0,1
6.0,6.0,7.0,3.0,45.0,5.0,33.0,4.0,1744.0,232.0,1116.0,260.0,750.0,234.0,640.0,786.0,200.0,586.0,27.0,27.0,37.0,0.21,187.0,186.0,232.0,110.0,1
7.0,7.0,7.0,2.0,42.0,3.0,32.0,7.0,1082.0,97.0,704.0,170.0,475.0,287.0,295.0,407.0,108.0,299.0,26.0,26.0,29.0,0.41,135.0,130.0,148.0,56.0,1
8.0,8.0,9.0,5.0,65.0,10.0,43.0,13.0,4834.0,768.0,3042.0,473.0,2130.0,1080.0,1310.0,1862.0,405.0,1457.0,48.0,48.0,62.0,0.36,566.0,564.0,645.0,411.0,1
1.0,1.0,1.0,1.0,10.0,1.0,9.0,0.0,108.0,20.0,63.0,32.0,38.0,26.0,24.0,30.0,15.0,15.0,2.0,2.0,2.0,0.41,7.0,7.0,7.0,5.0,-1
8.0,8.0,10.0,5.0,65.0,11.0,48.0,7.0,875.0,150.0,566.0,119.0,399.0,127.0,292.0,374.0,78.0,296.0,44.0,44.0,57.0,0.22,89.0,89.0,110.0,63.0,1
4.0,4.0,6.0,2.0,30.0,4.0,21.0,5.0,247.0,40.0,151.0,47.0,98.0,51.0,65.0,87.0,27.0,60.0,16.0,16.0,29.0,0.34,25.0,25.0,38.0,16.0,-1
3.0,3.0,3.0,2.0,24.0,2.0,17.0,3.0,963.0,109.0,638.0,217.0,390.0,198.0,317.0,401.0,132.0,269.0,11.0,11.0,11.0,0.31,85.0,85.0,92.0,71.0,1
3.0,3.0,3.0,1.0,17.0,2.0,14.0,1.0,215.0,32.0,135.0,50.0,92.0,36.0,52.0,69.0,28.0,41.0,10.0,10.0,10.0,0.27,27.0,27.0,27.0,8.0,-1
2.0,2.0,2.0,1.0,13.0,2.0,11.0,1.0,102.0,17.0,61.0,31.0,39.0,23.0,26.0,32.0,15.0,17.0,4.0,4.0,5.0,0.38,7.0,7.0,8.0,7.0,-1
2.0,2.0,2.0,1.0,16.0,3.0,11.0,2.0,179.0,33.0,104.0,51.0,65.0,38.0,50.0,63.0,28.0,35.0,5.0,5.0,5.0,0.37,14.0,14.0,14.0,7.0,1
2.0,2.0,2.0,1.0,20.0,1.0,12.0,6.0,1313.0,98.0,385.0,105.0,244.0,773.0,340.0,270.0,79.0,191.0,12.0,12.0,13.0,2.01,52.0,52.0,53.0,33.0,-1
5.0,5.0,5.0,2.0,34.0,2.0,26.0,6.0,566.0,43.0,285.0,70.0,186.0,229.0,129.0,175.0,46.0,129.0,15.0,15.0,17.0,0.8,46.0,45.0,52.0,29.0,1
6.0,6.0,7.0,3.0,40.0,4.0,30.0,4.0,890.0,94.0,603.0,141.0,403.0,92.0,281.0,370.0,106.0,264.0,20.0,20.0,24.0,0.15,108.0,108.0,123.0,67.0,1
3.0,3.0,3.0,2.0,27.0,3.0,15.0,3.0,416.0,51.0,176.0,55.0,108.0,107.0,86.0,112.0,36.0,76.0,9.0,9.0,9.0,0.61,26.0,26.0,27.0,23.0,1
4.0,3.0,4.0,2.0,19.0,2.0,16.0,1.0,620.0,76.0,402.0,124.0,250.0,146.0,196.0,270.0,83.0,187.0,19.0,19.0,21.0,0.36,77.0,70.0,83.0,47.0,1
7.0,7.0,9.0,4.0,37.0,5.0,28.0,8.0,897.0,133.0,598.0,102.0,392.0,223.0,257.0,385.0,73.0,312.0,56.0,56.0,64.0,0.37,141.0,141.0,182.0,83.0,-1
12.0,9.0,14.0,6.0,73.0,6.0,59.0,6.0,3751.0,366.0,2799.0,446.0,2009.0,413.0,1365.0,1938.0,281.0,1657.0,135.0,57.0,145.0,0.15,567.0,431.0,647.0,283.0,1
6.0,6.0,7.0,2.0,36.0,2.0,32.0,0.0,533.0,45.0,397.0,95.0,274.0,59.0,185.0,250.0,56.0,194.0,30.0,30.0,35.0,0.15,67.0,67.0,73.0,32.0,1
13.0,11.0,16.0,6.0,97.0,10.0,70.0,19.0,1760.0,188.0,1186.0,203.0,873.0,380.0,589.0,783.0,143.0,640.0,81.0,62.0,96.0,0.32,206.0,183.0,262.0,104.0,1
