AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,isDefective
6.0,6.0,6.0,1.0,24.0,3.0,19.0,1.0,77.0,12.0,61.0,13.0,36.0,4.0,34.0,51.0,10.0,41.0,15.0,15.0,17.0,0.07,18.0,18.0,20.0,3.0,-1
2.0,2.0,3.0,1.0,12.0,0.0,12.0,0.0,487.0,44.0,424.0,102.0,235.0,19.0,228.0,331.0,106.0,225.0,10.0,10.0,12.0,0.04,97.0,97.0,102.0,41.0,1
4.0,4.0,6.0,1.0,20.0,1.0,14.0,6.0,29.0,4.0,18.0,9.0,7.0,8.0,11.0,16.0,7.0,9.0,4.0,4.0,6.0,0.44,4.0,4.0,6.0,1.0,-1
3.0,2.0,3.0,1.0,16.0,1.0,14.0,0.0,374.0,53.0,282.0,78.0,159.0,41.0,154.0,211.0,61.0,150.0,7.0,7.0,8.0,0.15,51.0,48.0,56.0,19.0,1
3.0,3.0,3.0,1.0,18.0,1.0,16.0,0.0,343.0,43.0,259.0,71.0,144.0,43.0,136.0,194.0,57.0,137.0,12.0,12.0,12.0,0.17,48.0,47.0,53.0,16.0,1
5.0,5.0,5.0,2.0,41.0,5.0,34.0,1.0,323.0,51.0,264.0,68.0,161.0,9.0,146.0,193.0,53.0,140.0,16.0,16.0,16.0,0.03,40.0,40.0,41.0,19.0,1
2.0,2.0,2.0,1.0,17.0,0.0,16.0,0.0,814.0,78.0,609.0,178.0,308.0,130.0,292.0,379.0,118.0,261.0,6.0,6.0,6.0,0.21,89.0,89.0,90.0,34.0,1
3.0,3.0,3.0,1.0,40.0,8.0,32.0,0.0,135.0,31.0,104.0,22.0,71.0,1.0,78.0,91.0,23.0,68.0,9.0,9.0,9.0,0.01,11.0,11.0,11.0,3.0,1
5.0,5.0,5.0,2.0,31.0,4.0,25.0,2.0,390.0,64.0,263.0,57.0,166.0,67.0,151.0,214.0,56.0,158.0,20.0,20.0,20.0,0.25,50.0,50.0,51.0,24.0,1
2.0,2.0,2.0,1.0,14.0,1.0,12.0,0.0,465.0,64.0,364.0,111.0,199.0,41.0,191.0,261.0,86.0,175.0,8.0,6.0,8.0,0.11,59.0,55.0,67.0,24.0,1
