total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
307.0,116.0,44.0,5.0,147.0,138.0,23.0,245.0,366.0,161.0,611.0,3104.0,0.04898,20.4167,63373.3333,1.0347,3520.7407,94.0,47.0,43.0,39.0,10.0,37.0,0.2517,1.2051,43.0,1.1622,0.12052,0.0,1
3.0,0.0,0.0,0.0,3.0,4.0,6.0,6.0,8.0,10.0,14.0,32.0,0.22222,4.5,144.0,0.010667,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333,0.0,0.0,0.0,0.33333,0.0,-1
268.0,72.0,22.0,0.0,174.0,125.0,23.0,337.0,484.0,148.0,821.0,4102.0,0.032254000000000005,31.004,127178.408,1.3673,7065.4671,190.0,95.0,0.0,94.0,32.0,64.0,0.36782,1.0106,0.0,0.0,0.23881,0.0,-1
11.0,2.0,0.0,0.0,9.0,10.0,4.0,15.0,17.0,14.0,32.0,84.0,0.33333,3.0,252.0,0.028,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.11111,0.0,2.0,2.0,0.090909,0.0,-1
9.0,2.0,0.0,0.0,7.0,7.0,4.0,11.0,13.0,11.0,24.0,57.0,0.31818,3.1429,179.1429,0.019,9.9524,0.0,0.0,1.0,0.0,0.0,1.0,0.14286,0.0,1.0,1.0,0.11111,0.0,-1
10.0,2.0,0.0,0.0,8.0,7.0,4.0,13.0,15.0,11.0,28.0,67.0,0.26923,3.7143,248.8571,0.022333,13.8254,0.0,0.0,2.0,0.0,0.0,1.0,0.125,0.0,2.0,2.0,0.1,0.0,-1
5.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,9.0,8.0,14.0,29.0,0.66667,1.5,43.5,0.009667,2.4167,0.0,0.0,3.0,0.0,0.0,1.0,0.2,0.0,3.0,3.0,0.2,0.0,-1
28.0,5.0,1.0,0.0,22.0,18.0,12.0,49.0,53.0,30.0,102.0,346.0,0.061224,16.3333,5651.3333,0.11533,313.963,8.0,4.0,2.0,3.0,1.0,4.0,0.18182,1.3333,2.0,0.5,0.14286,1.0,-1
26.0,6.0,0.0,0.0,20.0,16.0,11.0,41.0,44.0,27.0,85.0,280.0,0.070953,14.0938,3946.25,0.093333,219.2361,4.0,2.0,2.0,1.0,0.0,3.0,0.15,2.0,2.0,0.66667,0.11538,0.0,-1
15.0,4.0,0.0,0.0,11.0,11.0,5.0,19.0,22.0,16.0,41.0,113.0,0.23158,4.3182,487.9545,0.037667,27.1086,0.0,0.0,7.0,0.0,0.0,1.0,0.090909,0.0,7.0,7.0,0.06666699999999999,1.0,-1
23.0,5.0,1.0,0.0,17.0,18.0,9.0,25.0,36.0,27.0,61.0,201.0,0.16,6.25,1256.25,0.067,69.7917,4.0,2.0,7.0,1.0,0.0,3.0,0.17647000000000002,2.0,7.0,2.3333,0.13043,2.0,-1
10.0,4.0,0.0,0.0,6.0,9.0,6.0,24.0,23.0,15.0,47.0,127.0,0.125,8.0,1016.0,0.042333,56.4444,0.0,0.0,3.0,0.0,0.0,1.0,0.16667,0.0,3.0,3.0,0.1,2.0,-1
23.0,5.0,1.0,0.0,17.0,15.0,10.0,43.0,58.0,25.0,101.0,325.0,0.069767,14.3333,4658.3333,0.10833,258.7963,16.0,8.0,4.0,8.0,4.0,5.0,0.29412,1.0,4.0,0.8,0.21739,1.0,-1
76.0,11.0,11.0,2.0,54.0,49.0,14.0,116.0,166.0,63.0,282.0,1168.0,0.060345,16.5714,19355.4286,0.38933,1075.3016,58.0,29.0,17.0,29.0,14.0,16.0,0.2963,1.0,17.0,1.0625,0.21053,0.0,-1
203.0,63.0,37.0,6.0,103.0,60.0,23.0,304.0,348.0,83.0,652.0,2881.0,0.017162,58.2667,167866.2667,0.96033,9325.9037,58.0,29.0,77.0,28.0,8.0,22.0,0.21359,1.0357,77.0,3.5,0.10837,0.0,-1
64.0,18.0,7.0,1.0,39.0,35.0,14.0,75.0,97.0,49.0,172.0,669.0,0.06666699999999999,15.0,10035.0,0.223,557.5,24.0,12.0,8.0,12.0,3.0,10.0,0.25641,1.0,8.0,0.8,0.15625,0.0,-1
94.0,21.0,17.0,3.0,56.0,35.0,18.0,103.0,145.0,53.0,248.0,984.0,0.037756,26.4857,26061.9429,0.328,1447.8857,32.0,16.0,29.0,16.0,4.0,12.0,0.21429,1.0,29.0,2.4167,0.12766,0.0,-1
31.0,10.0,5.0,0.0,16.0,19.0,5.0,64.0,66.0,24.0,130.0,413.0,0.11875,8.4211,3477.8947,0.13767,193.2164,0.0,0.0,24.0,0.0,0.0,1.0,0.0625,0.0,24.0,24.0,0.032257999999999995,0.0,-1
70.0,21.0,15.0,0.0,34.0,30.0,7.0,83.0,88.0,37.0,171.0,617.0,0.10327,9.6833,5974.6167,0.20567,331.9231,2.0,1.0,17.0,0.0,0.0,2.0,0.058824,0.0,17.0,8.5,0.028571,0.0,-1
20.0,9.0,8.0,0.0,3.0,12.0,4.0,19.0,22.0,16.0,41.0,113.0,0.31579,3.1667,357.8333,0.037667,19.8796,0.0,0.0,9.0,0.0,0.0,1.0,0.33333,0.0,9.0,9.0,0.05,0.0,-1
285.0,78.0,40.0,3.0,167.0,36.0,15.0,295.0,355.0,51.0,650.0,2555.0,0.016271,61.4583,157026.0417,0.85167,8723.669,40.0,20.0,109.0,20.0,3.0,15.0,0.08982000000000001,1.0,109.0,7.2667,0.052632000000000005,0.0,-1
61.0,21.0,7.0,1.0,33.0,24.0,10.0,73.0,83.0,34.0,156.0,550.0,0.06575299999999999,15.2083,8364.5833,0.18333,464.6991,6.0,3.0,10.0,3.0,0.0,4.0,0.12120999999999997,1.0,10.0,2.5,0.06557400000000001,0.0,-1
16.0,5.0,0.0,0.0,11.0,12.0,5.0,22.0,23.0,17.0,45.0,127.0,0.21818,4.5833,582.0833,0.042333,32.338,0.0,0.0,1.0,0.0,0.0,1.0,0.090909,0.0,1.0,1.0,0.0625,1.0,-1
17.0,6.0,0.0,0.0,11.0,12.0,5.0,22.0,23.0,17.0,45.0,127.0,0.21818,4.5833,582.0833,0.042333,32.338,0.0,0.0,1.0,0.0,0.0,1.0,0.090909,0.0,1.0,1.0,0.058824,1.0,-1
29.0,8.0,1.0,1.0,20.0,15.0,10.0,38.0,44.0,25.0,82.0,263.0,0.078947,12.6667,3331.3333,0.087667,185.0741,2.0,1.0,1.0,0.0,0.0,2.0,0.1,0.0,1.0,0.5,0.068966,2.0,-1
82.0,31.0,7.0,4.0,44.0,25.0,11.0,57.0,91.0,36.0,148.0,530.0,0.07974500000000001,12.54,6646.2,0.17667,369.2333,24.0,12.0,2.0,11.0,3.0,10.0,0.22727,1.0909,2.0,0.2,0.12195,0.0,-1
74.0,21.0,10.0,4.0,43.0,30.0,10.0,58.0,91.0,40.0,149.0,549.0,0.10345,9.6667,5307.0,0.183,294.8333,28.0,14.0,2.0,14.0,3.0,12.0,0.27907,1.0,2.0,0.16667,0.16216,0.0,-1
77.0,30.0,13.0,4.0,34.0,50.0,16.0,87.0,108.0,66.0,195.0,816.0,0.071839,13.92,11358.72,0.272,631.04,24.0,12.0,3.0,12.0,4.0,9.0,0.26471,1.0,3.0,0.33333,0.11688,0.0,-1
76.0,19.0,2.0,1.0,55.0,57.0,19.0,118.0,155.0,76.0,273.0,1182.0,0.050847,19.6667,23246.0,0.394,1291.4444,46.0,23.0,25.0,23.0,10.0,14.0,0.25455,1.0,25.0,1.7857,0.18421,0.0,-1
23.0,5.0,0.0,0.0,18.0,22.0,6.0,67.0,69.0,28.0,136.0,453.0,0.10945,9.1364,4138.7727,0.151,229.9318,4.0,2.0,24.0,2.0,1.0,2.0,0.11111,1.0,24.0,12.0,0.086957,0.0,-1
19.0,5.0,0.0,0.0,14.0,14.0,13.0,26.0,33.0,27.0,59.0,194.0,0.08284,12.0714,2341.8571,0.064667,130.1032,4.0,2.0,0.0,1.0,0.0,3.0,0.21429,2.0,0.0,0.0,0.15789,0.0,-1
128.0,42.0,21.0,3.0,65.0,67.0,13.0,83.0,134.0,80.0,217.0,950.0,0.12419,8.0522,7649.6269,0.31667,424.9793,26.0,13.0,24.0,12.0,1.0,12.0,0.18462,1.0833,24.0,2.0,0.09375,0.0,-1
115.0,42.0,4.0,1.0,69.0,44.0,19.0,117.0,155.0,63.0,272.0,1126.0,0.039586,25.2614,28444.2955,0.37533,1580.2386,24.0,12.0,10.0,12.0,2.0,10.0,0.14493,1.0,10.0,1.0,0.086957,0.0,-1
117.0,40.0,17.0,4.0,60.0,52.0,14.0,82.0,126.0,66.0,208.0,871.0,0.090592,11.0385,9614.5,0.29033000000000003,534.1389,26.0,13.0,16.0,12.0,1.0,12.0,0.2,1.0833,16.0,1.3333,0.10255999999999997,0.0,-1
91.0,21.0,18.0,0.0,52.0,74.0,5.0,102.0,104.0,79.0,206.0,900.0,0.2902,3.4459,3101.3514,0.3,172.2973,0.0,0.0,0.0,0.0,0.0,1.0,0.019231,0.0,0.0,0.0,0.010989,0.0,-1
57.0,0.0,36.0,0.0,21.0,30.0,4.0,35.0,37.0,34.0,72.0,253.0,0.42857,2.3333,590.3333,0.084333,32.7963,0.0,0.0,0.0,0.0,0.0,1.0,0.047619,0.0,0.0,0.0,0.017544,0.0,-1
18.0,5.0,6.0,0.0,7.0,15.0,7.0,28.0,39.0,22.0,67.0,207.0,0.15306,6.5333,1352.4,0.069,75.1333,16.0,8.0,0.0,8.0,0.0,9.0,1.2857,1.0,0.0,0.0,0.5,0.0,-1
91.0,26.0,14.0,0.0,51.0,68.0,14.0,142.0,167.0,82.0,309.0,1361.0,0.06841,14.6176,19894.6177,0.45367,1105.2565,32.0,16.0,20.0,16.0,0.0,17.0,0.33333,1.0,20.0,1.1765,0.18681,0.0,-1
31.0,3.0,1.0,0.0,27.0,29.0,5.0,62.0,64.0,34.0,126.0,444.0,0.1871,5.3448,2373.1034,0.14800000000000002,131.8391,0.0,0.0,11.0,0.0,0.0,1.0,0.037037,0.0,11.0,11.0,0.032257999999999995,0.0,-1
18.0,4.0,0.0,0.0,14.0,20.0,6.0,32.0,34.0,26.0,66.0,215.0,0.20833,4.8,1032.0,0.071667,57.3333,0.0,0.0,6.0,0.0,0.0,1.0,0.07142899999999999,0.0,6.0,6.0,0.055556,0.0,1
26.0,10.0,0.0,0.0,16.0,21.0,13.0,45.0,55.0,34.0,100.0,352.0,0.071795,13.9286,4902.8571,0.11733,272.381,8.0,4.0,0.0,3.0,0.0,5.0,0.3125,1.3333,0.0,0.0,0.19231,1.0,-1
11.0,4.0,0.0,0.0,7.0,11.0,8.0,23.0,29.0,19.0,52.0,153.0,0.11957,8.3636,1279.6364,0.051,71.0909,8.0,4.0,1.0,4.0,0.0,5.0,0.71429,1.0,1.0,0.2,0.45455,0.0,-1
31.0,10.0,0.0,0.0,21.0,18.0,8.0,36.0,46.0,26.0,82.0,267.0,0.125,8.0,2136.0,0.08900000000000001,118.6667,8.0,4.0,2.0,4.0,1.0,4.0,0.19048,1.0,2.0,0.5,0.12903,0.0,-1
17.0,7.0,2.0,1.0,8.0,13.0,7.0,17.0,20.0,20.0,37.0,110.0,0.21849,4.5769,503.4615,0.036667,27.9701,2.0,1.0,1.0,0.0,0.0,2.0,0.25,0.0,1.0,0.5,0.11765,1.0,-1
115.0,32.0,29.0,2.0,54.0,65.0,13.0,183.0,229.0,78.0,412.0,1794.0,0.054645000000000006,18.3,32830.2,0.598,1823.9,100.0,50.0,1.0,50.0,23.0,28.0,0.51852,1.0,1.0,0.035714,0.24348000000000006,0.0,-1
62.0,19.0,12.0,0.0,31.0,45.0,13.0,130.0,161.0,58.0,291.0,1181.0,0.053254,18.7778,22176.5556,0.39367,1232.0309,68.0,34.0,1.0,34.0,15.0,20.0,0.6451600000000001,1.0,1.0,0.05,0.32258000000000003,0.0,-1
58.0,18.0,5.0,0.0,35.0,24.0,14.0,50.0,74.0,38.0,124.0,451.0,0.06857100000000001,14.5833,6577.0833,0.15033,365.3935,16.0,8.0,3.0,8.0,2.0,7.0,0.2,1.0,3.0,0.42857,0.12069,0.0,-1
6.0,2.0,0.0,0.0,4.0,8.0,6.0,9.0,10.0,14.0,19.0,50.0,0.2963,3.375,168.75,0.016666999999999998,9.375,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.0,1.0,1.0,0.16667,0.0,-1
5.0,1.0,0.0,0.0,4.0,7.0,5.0,8.0,9.0,12.0,17.0,42.0,0.35,2.8571,120.0,0.014,6.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.2,0.0,-1
155.0,36.0,16.0,4.0,103.0,69.0,29.0,207.0,320.0,98.0,527.0,2416.0,0.022989,43.5,105096.0,0.80533,5838.6667,70.0,35.0,0.0,32.0,3.0,32.0,0.31068,1.0938,0.0,0.0,0.20645,0.0,-1
42.0,8.0,3.0,1.0,31.0,18.0,11.0,42.0,61.0,29.0,103.0,346.0,0.077922,12.8333,4440.3333,0.11533,246.6852,16.0,8.0,0.0,8.0,4.0,5.0,0.16129000000000002,1.0,0.0,0.0,0.11905,0.0,-1
445.0,109.0,64.0,11.0,272.0,99.0,19.0,477.0,693.0,118.0,1170.0,5581.0,0.021847,45.7727,255457.5909,1.8603,14192.0884,208.0,104.0,18.0,104.0,26.0,79.0,0.29044000000000003,1.0,18.0,0.22785,0.17753,0.0,1
43.0,9.0,7.0,4.0,27.0,25.0,14.0,51.0,75.0,39.0,126.0,461.0,0.07002799999999999,14.28,6583.08,0.15367,365.7267,28.0,14.0,5.0,14.0,6.0,9.0,0.33333,1.0,5.0,0.55556,0.2093,0.0,1
181.0,54.0,24.0,2.0,103.0,115.0,24.0,273.0,341.0,139.0,614.0,3029.0,0.035104,28.487,86286.9913,1.0097,4793.7217,86.0,43.0,4.0,43.0,10.0,34.0,0.3301,1.0,4.0,0.11765,0.18785,0.0,1
131.0,29.0,12.0,4.0,90.0,66.0,26.0,164.0,244.0,92.0,408.0,1844.0,0.030957,32.303000000000004,59566.7879,0.6146699999999999,3309.266,74.0,37.0,9.0,35.0,6.0,31.0,0.34444,1.0571,9.0,0.29032,0.23664,0.0,-1
15.0,3.0,0.0,0.0,12.0,13.0,11.0,18.0,29.0,24.0,47.0,149.0,0.13130999999999998,7.6154,1134.6923,0.049667,63.0385,8.0,4.0,1.0,4.0,0.0,5.0,0.41667,1.0,1.0,0.2,0.33333,0.0,-1
112.0,29.0,10.0,4.0,73.0,40.0,17.0,112.0,170.0,57.0,282.0,1140.0,0.042017,23.8,27132.0,0.38,1507.3333,64.0,32.0,0.0,32.0,6.0,26.0,0.35616,1.0,0.0,0.0,0.23214,0.0,-1
670.0,81.0,195.0,31.0,394.0,142.0,27.0,575.0,817.0,169.0,1392.0,7140.0,0.018293,54.6655,390311.6197,2.38,21683.9789,244.0,122.0,13.0,122.0,33.0,85.0,0.21574,1.0,13.0,0.15294000000000002,0.12687,0.0,1
173.0,59.0,22.0,6.0,92.0,77.0,31.0,277.0,352.0,108.0,629.0,2945.0,0.017934000000000002,55.7597,164212.4351,0.98167,9122.9131,108.0,54.0,0.0,53.0,14.0,40.0,0.43478,1.0189,0.0,0.0,0.23121,0.0,1
114.0,32.0,12.0,3.0,70.0,46.0,23.0,134.0,180.0,69.0,314.0,1329.0,0.029851,33.5,44521.5,0.443,2473.4167,56.0,28.0,1.0,27.0,7.0,22.0,0.31429,1.037,1.0,0.045455,0.19298,0.0,-1
148.0,41.0,5.0,0.0,102.0,42.0,16.0,147.0,208.0,58.0,355.0,1441.0,0.035714,28.0,40348.0,0.48033,2241.5556,48.0,24.0,0.0,24.0,7.0,18.0,0.17647000000000002,1.0,0.0,0.0,0.12162,0.0,-1
10.0,0.0,0.0,0.0,10.0,11.0,7.0,30.0,38.0,18.0,68.0,196.0,0.10476,9.5455,1870.9091,0.065333,103.9394,24.0,12.0,1.0,12.0,6.0,7.0,0.7,1.0,1.0,0.14286,0.7,0.0,-1
333.0,94.0,53.0,9.0,186.0,56.0,18.0,352.0,469.0,74.0,821.0,3533.0,0.017677000000000002,56.5714,199866.8571,1.1777,11103.7143,114.0,57.0,23.0,56.0,15.0,40.0,0.21505,1.0179,23.0,0.575,0.12012,0.0,1
