ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
0.0,0.0,0.01525,2.0,0.0,0.0,0.033871,0.0022,4.04,0.0,4.175680000000002,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.112667,0.0,0.0,0.0,0.0,11.0,0.0,3.0,1.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,1.01,0.0,4.04,0.010839,3.06,2.0,0.0,0.010398,0.0,18.0,3.0,0.015813999999999998,0.0,0.016969,0.0,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.000518,0.0,0.0,0.0,0.792859,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.042456,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012267,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.045793,0.0,-1
7.0,0.002984,0.0,4.0,0.0,1.01,0.318565,0.003137,0.0,0.002748,3.50218,0.0,0.0,1.02,0.0,0.0,0.0,139.0,0.0,1.01,0.123094,0.0,0.0,1.06,5.0,422.0,0.0,22.0,1.0,1.0,0.0,0.0,231.0,0.0,77.0,0.0031550000000000003,0.002785,0.003064,1.01,1.41,6.0,1.04,64.0,0.0,34.0,0.0,1.01,0.0,1.01,0.020467,1.01,4.0,0.020279,0.005149,0.002921,9.0,12.0,0.015088999999999997,1.16,0.069272,0.0031550000000000003,-1
12.0,0.0,0.0,1.0,0.0,0.0,0.000833,0.0,0.0,0.0,1.35264,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.101164,0.0,0.0,0.0,1.0,747.0,6.0,13.0,2.0,0.0,0.0,0.0,78.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.035057,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.099579,0.0,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.076471,0.0,0.0,0.0,2.08776,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.083567,0.0,0.0,0.0,2.0,23.0,0.0,6.0,2.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017221,0.0,1.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.067865,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.016903,0.0,0.0,0.0,3.0742,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.073134,0.0,0.0,0.0,1.0,10.0,0.0,6.0,3.0,1.0,0.0,1.01,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00406,0.0,0.00472,4.04,0.0,0.0,0.013377000000000002,0.0,17.0,6.0,0.0,0.0,0.001173,0.0,-1
0.0,0.002881,0.006677,4.0,0.0,0.0,0.046365,0.0032310000000000004,3.03,0.001056,6.91215,0.0,0.0,1.01,0.0,2.0,0.0,11.0,0.0,1.02,0.180807,1.02,0.0,1.03,2.0,54.0,0.0,6.0,2.0,4.0,0.001472,0.0,15.0,0.0,16.0,0.002933,0.0,0.002887,0.0,1.05,6.0,1.05,2.0,0.0,0.0,0.0,1.01,0.0,3.03,0.016273,4.07,4.0,0.0,0.013377000000000002,0.002984,21.0,6.0,0.007370999999999998,1.21,0.024356,0.003334,1
0.0,0.0,0.0,2.0,0.0,0.0,0.010397,0.0,0.0,0.0,1.23854,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.145898,0.0,0.0,0.0,1.0,43.0,0.0,4.0,1.0,4.0,0.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.051922,0.0,2.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.106899,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.019939,0.0,0.0,0.0,2.42975,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.060687,0.0,0.0,0.0,5.0,22.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004481000000000001,3.03,0.0,0.0,0.010398,0.0,10.0,2.0,0.0,0.0,0.001622,0.0,-1
0.0,0.026954,0.047276,6.0,0.0,4.21,0.098331,0.001633,5.09,0.0,9.29826,0.0,0.0,3.03,0.0,0.0,0.0,8.0,0.0,0.0,0.358735,0.0,0.0,3.08,2.0,20.0,0.0,3.0,1.0,7.0,0.0,0.0,3.0,0.0,6.0,0.033103,0.005695,0.032895999999999995,2.02,2.03,9.0,3.06,26.0,0.0,0.0,0.0,2.02,0.0,7.11,0.070648,3.03,6.0,0.004804,0.010398,0.033362,9.0,0.0,0.052154999999999986,3.2,0.124037,0.033713,-1
