ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
1.0,0.019228,0.024845,4.0,0.0,1.01,0.002216,0.018552000000000003,1.02,0.017874,1.49003,0.0,0.0,1.04,0.0,0.0,0.0,10.0,0.0,1.01,0.121386,0.0,0.0,1.06,3.0,31.0,0.0,8.0,2.0,5.0,0.0,0.0,28.0,0.0,18.0,0.020683,0.019453,0.020286,0.0,1.22,8.0,1.07,3.0,0.0,3.0,0.0,1.04,0.0,1.02,0.043518,1.02,4.0,0.0,0.002801,0.020688,36.0,6.0,0.02373,1.15,0.116244,0.019133,-1
0.0,0.0,0.0,20.0,0.0,0.0,0.278898,0.0,0.0,0.0,19.681,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,9.58032,0.0,0.0,1.01,10.0,85.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,20.0,0.00593,0.0,0.016626,3.04,0.0,14.0,1.01,3.0,24.0,2.0,2.0,0.0,0.0,3.04,0.186151,2.02,40.0,0.013098,0.009791,0.006229,9.0,1.0,0.014303,3.13,0.254718,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.000734,0.056522,6.0,0.0,1.01,0.013173,0.0011710000000000002,8.1,0.001505,10.6655,0.0,0.0,1.02,0.0,0.0,1.0,16.0,0.0,1.01,9.40365,0.0,0.0,2.03,1.0,51.0,0.0,14.0,1.0,10.0,0.0,0.0,91.0,0.0,16.0,0.003864,0.001466,0.0061920000000000005,0.0,1.25,11.0,1.02,10.0,7.0,6.0,1.0,1.02,0.0,8.1,0.19145,2.04,10.0,0.0,0.009791,0.0009,18.0,14.0,0.055485,3.1,0.347682,0.001253,-1
0.0,0.0,0.01056,5.0,0.0,0.0,0.042989,0.0,5.11,0.0,8.10051,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,9.29601,0.0,0.0025,0.0,3.0,74.0,7.0,14.0,1.0,11.0,0.0,0.0,91.0,2.07,33.0,0.0,0.0,0.004371,5.05,0.0,14.0,1.01,13.0,6.0,1.0,1.0,0.0,0.0,9.16,0.16664600000000002,5.31,10.0,0.022584,0.016354,0.0022140000000000003,31.0,12.0,0.032393,2.04,0.262198,0.0,-1
0.0,0.0,0.0,2.0,0.0,0.0,0.003364,0.0,0.0,0.0,5.22331,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.18542,0.0,0.0,0.0,1.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.145653,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.184572,0.0,-1
0.0,0.0,0.0,4.0,0.0,1.01,0.013012,0.0,0.0,0.045459,12.3488,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.01,9.47392,0.0,0.0,3.03,3.0,34.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,15.0,0.055241,0.051585,0.061180999999999985,4.04,0.0,5.0,4.06,1.0,10.0,1.0,0.0,0.0,0.0,4.04,0.20572,2.02,13.0,0.074547,0.009791,0.064264,17.0,1.0,0.08552799999999999,4.11,0.413225,0.0,-1
0.0,0.0,0.0068200000000000005,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.003043,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.02,0.0,2.06,2.0,0.0,0.009791,0.0,32.0,3.0,0.007282999999999999,1.01,0.0,0.0,-1
1.0,0.0,0.0,5.0,0.0,1.01,0.008067,0.0,0.0,0.0,11.6328,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,9.41034,0.0,0.0,0.0,1.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.002622,0.004154,0.0,0.0,1.0,1.01,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.184725,0.0,10.0,0.0,0.0,0.001143,0.0,2.0,0.0,2.02,0.322628,0.0,-1
0.0,0.0,0.0,2.0,0.0,0.0,0.012142,0.0,0.0,0.0,2.02245,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.050459,0.0,0.0,0.0,2.0,44.0,0.0,4.0,1.0,0.0,0.0,1.01,6.0,0.0,11.0,0.0,0.0,0.0,3.03,0.0,2.0,2.04,3.0,4.0,3.0,0.0,0.0,0.001502,3.03,0.003675,3.15,4.0,0.007324,0.012592,0.003942,0.0,4.0,0.006864,0.0,0.000913,0.0,-1
