wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
7.0,1.0,0.0,6.0,19.0,7.0,0.0,6.0,6.0,0.75,117.0,1.0,2.0,0.0,0.366667,0.0,0.0,15.142857000000001,3.0,1.1429,-1
13.0,1.0,0.0,1.0,17.0,64.0,0.0,1.0,12.0,0.916667,117.0,1.0,0.0,0.0,0.461538,0.0,0.0,7.461538000000001,3.0,1.3846,-1
7.0,4.0,4.0,48.0,12.0,19.0,47.0,1.0,6.0,0.9444440000000001,44.0,0.333333,0.0,0.866667,0.458333,0.0,0.0,4.857143,1.0,0.2857,-1
4.0,1.0,0.0,4.0,4.0,6.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
4.0,5.0,0.0,2.0,8.0,6.0,1.0,1.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,-1
5.0,1.0,0.0,2.0,6.0,6.0,1.0,1.0,5.0,0.916667,25.0,1.0,1.0,0.0,0.466667,0.0,0.0,3.4,1.0,0.8,-1
9.0,1.0,0.0,6.0,9.0,36.0,3.0,3.0,9.0,2.0,9.0,0.0,0.0,0.0,0.425926,0.0,0.0,0.0,1.0,1.0,-1
15.0,1.0,0.0,6.0,19.0,83.0,4.0,2.0,15.0,0.9285709999999999,123.0,1.0,2.0,0.0,0.209524,1.0,1.0,6.733333,7.0,1.4,-1
30.0,1.0,0.0,1.0,34.0,389.0,0.0,1.0,29.0,0.946708,266.0,1.0,0.0,0.0,0.43333299999999997,0.0,0.0,7.5,3.0,1.4667,-1
10.0,1.0,0.0,4.0,19.0,0.0,2.0,2.0,10.0,0.694444,115.0,1.0,3.0,0.0,0.35,1.0,1.0,10.1,5.0,1.3,-1
3.0,1.0,0.0,3.0,9.0,3.0,0.0,3.0,3.0,2.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,12.333333,5.0,2.0,-1
11.0,1.0,0.0,8.0,18.0,13.0,7.0,1.0,11.0,0.775,130.0,1.0,1.0,0.0,0.287879,1.0,1.0,10.454545,7.0,1.3636,-1
10.0,1.0,1.0,14.0,29.0,21.0,5.0,9.0,6.0,0.777778,150.0,1.0,0.0,0.0,0.44,0.0,0.0,13.6,2.0,1.2,-1
3.0,4.0,0.0,3.0,10.0,3.0,0.0,3.0,3.0,2.0,33.0,0.0,0.0,0.965517,0.833333,0.0,0.0,10.0,1.0,0.6667,-1
13.0,1.0,0.0,6.0,35.0,64.0,0.0,6.0,13.0,0.9375,254.0,1.0,0.0,0.0,0.259615,0.0,0.0,17.923077,2.0,1.0,-1
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,-1
7.0,1.0,0.0,13.0,7.0,21.0,13.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,0.464286,0.0,0.0,0.0,1.0,1.0,-1
9.0,1.0,0.0,6.0,15.0,4.0,6.0,1.0,9.0,0.791667,101.0,1.0,1.0,0.0,0.361111,1.0,1.0,9.888889,7.0,1.5556,-1
8.0,1.0,0.0,4.0,15.0,6.0,4.0,0.0,8.0,0.809524,82.0,1.0,0.0,0.0,0.34375,1.0,1.0,8.875,6.0,1.625,-1
4.0,2.0,0.0,3.0,7.0,4.0,3.0,0.0,2.0,0.966667,122.0,0.1,10.0,0.8461540000000001,0.44444399999999995,1.0,1.0,27.0,1.0,0.5,-1
5.0,4.0,0.0,18.0,41.0,10.0,0.0,18.0,4.0,2.0,157.0,0.0,0.0,0.933333,0.5,0.0,0.0,30.4,12.0,3.6,-1
1.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1
14.0,1.0,0.0,8.0,42.0,27.0,0.0,8.0,13.0,0.769231,280.0,1.0,3.0,0.0,0.241758,0.0,0.0,18.642857,1.0,0.8571,-1
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,-1
1.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
8.0,1.0,0.0,5.0,14.0,0.0,3.0,2.0,8.0,0.666667,122.0,1.0,2.0,0.0,0.40625,1.0,1.0,13.875,10.0,2.125,-1
2.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,-1
5.0,1.0,0.0,11.0,27.0,6.0,0.0,11.0,5.0,0.75,138.0,1.0,2.0,0.0,0.333333,0.0,0.0,26.2,11.0,2.8,-1
19.0,1.0,0.0,12.0,23.0,137.0,8.0,4.0,18.0,0.9462959999999999,242.0,1.0,2.0,0.0,0.37037,0.0,0.0,10.157895,1.0,0.8947,-1
1.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
18.0,1.0,0.0,9.0,38.0,103.0,6.0,3.0,15.0,0.811765,239.0,1.0,2.0,0.0,0.24264699999999997,0.0,0.0,12.0,6.0,1.3333,-1
9.0,1.0,0.0,7.0,9.0,36.0,4.0,3.0,9.0,2.0,9.0,0.0,0.0,0.0,0.28571399999999997,0.0,0.0,0.0,1.0,1.0,-1
6.0,4.0,0.0,11.0,26.0,15.0,0.0,11.0,4.0,2.0,103.0,0.0,0.0,0.918033,0.5,0.0,0.0,16.166667,6.0,1.6667,-1
3.0,2.0,0.0,5.0,11.0,3.0,4.0,1.0,3.0,2.0,33.0,0.0,0.0,0.882353,0.555556,1.0,1.0,10.0,1.0,0.6667,-1
4.0,2.0,0.0,4.0,14.0,4.0,0.0,4.0,4.0,0.666667,68.0,1.0,0.0,0.8125,0.4375,1.0,1.0,15.75,4.0,1.5,-1
