wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
13.0,1.0,0.0,18.0,47.0,0.0,17.0,1.0,10.0,0.541667,803.0,1.0,0.0,0.0,0.2,0.0,0.0,60.615384999999996,5.0,2.6154,-1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
9.0,1.0,0.0,15.0,32.0,0.0,1.0,14.0,6.0,0.5625,302.0,1.0,0.0,0.0,0.458333,0.0,0.0,32.333333,3.0,1.3333,-1
13.0,1.0,0.0,13.0,52.0,0.0,1.0,12.0,6.0,0.541667,520.0,1.0,0.0,0.0,0.291667,0.0,0.0,38.846154,4.0,1.4615,-1
15.0,2.0,0.0,14.0,36.0,0.0,8.0,6.0,10.0,0.464286,404.0,1.0,1.0,0.235294,0.196429,1.0,4.0,25.8,4.0,1.7333,-1
8.0,1.0,0.0,6.0,18.0,0.0,1.0,5.0,6.0,0.571429,185.0,1.0,0.0,0.0,0.428571,0.0,0.0,21.875,2.0,1.25,-1
36.0,1.0,0.0,13.0,71.0,0.0,0.0,13.0,34.0,0.782143,816.0,1.0,6.0,0.0,0.182857,0.0,0.0,21.444444,2.0,1.8611,-1
9.0,1.0,0.0,11.0,34.0,0.0,1.0,10.0,6.0,0.5625,312.0,1.0,0.0,0.0,0.458333,0.0,0.0,33.444444,4.0,1.4444,-1
5.0,2.0,0.0,8.0,12.0,0.0,6.0,2.0,3.0,0.625,123.0,1.0,0.0,0.8125,0.75,1.0,4.0,23.2,2.0,1.0,-1
9.0,2.0,0.0,6.0,15.0,0.0,3.0,3.0,7.0,0.65,199.0,1.0,0.0,0.65,0.34375,1.0,4.0,20.555556,2.0,1.4444,-1
5.0,2.0,0.0,7.0,11.0,0.0,4.0,3.0,3.0,0.583333,102.0,1.0,0.0,0.8125,0.5,1.0,4.0,18.8,2.0,1.0,-1
7.0,2.0,0.0,3.0,9.0,0.0,1.0,2.0,5.0,0.583333,178.0,1.0,0.0,0.6875,0.666667,1.0,2.0,24.142857,5.0,2.2857,-1
11.0,1.0,0.0,12.0,35.0,0.0,1.0,11.0,6.0,0.55,324.0,1.0,0.0,0.0,0.5,0.0,0.0,28.272727000000003,2.0,1.1818,-1
5.0,2.0,0.0,12.0,29.0,0.0,1.0,11.0,2.0,1.0,210.0,0.4,0.0,0.8888889999999999,0.75,1.0,10.0,40.0,3.0,1.2,-1
13.0,1.0,0.0,11.0,52.0,0.0,1.0,10.0,6.0,0.541667,537.0,1.0,0.0,0.0,0.35,0.0,0.0,40.153846,2.0,1.3077,-1
6.0,3.0,0.0,39.0,11.0,0.0,38.0,1.0,4.0,0.6,115.0,1.0,0.0,0.9285709999999999,0.533333,0.0,0.0,17.833333,1.0,0.1667,-1
4.0,2.0,0.0,6.0,8.0,0.0,3.0,3.0,2.0,0.666667,83.0,0.5,2.0,0.714286,0.555556,2.0,5.0,18.75,2.0,0.75,-1
14.0,1.0,0.0,13.0,44.0,0.0,1.0,12.0,9.0,0.692308,518.0,0.714286,3.0,0.0,0.25640999999999997,0.0,0.0,35.5,5.0,1.9286,-1
4.0,1.0,0.0,57.0,53.0,0.0,11.0,46.0,2.0,0.333333,383.0,1.0,0.0,0.0,0.333333,0.0,0.0,94.25,2.0,0.75,-1
4.0,2.0,0.0,5.0,8.0,0.0,3.0,2.0,2.0,1.0,92.0,1.0,0.0,0.714286,0.666667,1.0,4.0,21.0,4.0,1.25,-1
4.0,2.0,0.0,5.0,8.0,0.0,3.0,2.0,2.0,1.066667,93.0,1.0,0.0,0.714286,0.666667,1.0,4.0,21.0,4.0,1.25,-1
14.0,1.0,0.0,13.0,62.0,0.0,0.0,13.0,12.0,0.769231,819.0,1.0,7.0,0.0,0.323077,0.0,0.0,56.785714,6.0,2.8571,-1
9.0,1.0,0.0,20.0,38.0,0.0,1.0,19.0,6.0,0.5625,309.0,1.0,0.0,0.0,0.458333,0.0,0.0,33.111111,3.0,1.3333,-1
4.0,2.0,0.0,4.0,11.0,0.0,1.0,3.0,2.0,1.066667,118.0,1.0,0.0,0.714286,0.666667,2.0,5.0,27.25,5.0,1.5,-1
13.0,1.0,0.0,7.0,62.0,0.0,0.0,7.0,11.0,0.604167,746.0,1.0,1.0,0.0,0.277778,0.0,0.0,56.076923,6.0,2.6154,-1
5.0,2.0,0.0,11.0,9.0,0.0,10.0,1.0,2.0,0.75,131.0,0.4,4.0,0.785714,0.333333,1.0,1.0,24.2,2.0,1.0,-1
5.0,1.0,0.0,6.0,19.0,0.0,0.0,6.0,2.0,1.041667,222.0,0.333333,0.0,0.0,0.375,0.0,0.0,42.2,1.0,0.6,-1
7.0,1.0,0.0,5.0,7.0,21.0,4.0,1.0,7.0,2.0,7.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,1.0,-1
4.0,2.0,0.0,6.0,12.0,0.0,4.0,2.0,2.0,0.666667,181.0,1.0,0.0,0.866667,0.666667,1.0,4.0,43.75,4.0,1.25,-1
1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
5.0,1.0,0.0,61.0,5.0,10.0,59.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.533333,0.0,0.0,0.0,1.0,1.0,-1
9.0,1.0,0.0,15.0,30.0,0.0,2.0,13.0,6.0,0.5625,281.0,1.0,0.0,0.0,0.458333,0.0,0.0,30.0,2.0,1.2222,-1
6.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,4.0,0.75,145.0,1.0,0.0,0.0,0.32,0.0,0.0,22.5,2.0,0.8333,-1
