wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8.0,1.0,0.0,6.0,14.0,26.0,2.0,0.0,7.0,1.0,39.0,1.0,2.0,0.0,0.392857,0.0,0.0,3.5,1.0,0.75,-1
2.0,4.0,0.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,36.0,0.0,0.0,0.9756100000000001,0.666667,1.0,1.0,17.0,1.0,0.5,-1
56.0,1.0,0.0,49.0,89.0,1310.0,40.0,0.0,56.0,0.9564739999999999,583.0,1.0,24.0,0.0,0.1375,0.0,0.0,8.821429,5.0,1.1964,-1
4.0,5.0,1.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,-1
3.0,2.0,0.0,3.0,8.0,3.0,3.0,0.0,3.0,1.5,73.0,0.0,0.0,0.9375,0.833333,0.0,0.0,22.0,3.0,1.0,-1
3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
10.0,3.0,0.0,3.0,24.0,3.0,1.0,0.0,10.0,0.48148100000000005,114.0,1.0,0.0,0.428571,0.21111100000000002,1.0,1.0,10.1,3.0,1.0,-1
3.0,2.0,0.0,2.0,7.0,3.0,2.0,0.0,3.0,1.5,30.0,0.0,0.0,0.9375,0.833333,0.0,0.0,8.666667,3.0,1.0,-1
3.0,2.0,0.0,5.0,8.0,3.0,0.0,0.0,2.0,1.0,27.0,1.0,0.0,0.97619,1.0,0.0,0.0,7.6666669999999995,1.0,0.3333,-1
11.0,2.0,0.0,1.0,25.0,35.0,0.0,0.0,11.0,0.65,283.0,1.0,0.0,0.41176499999999994,0.318182,0.0,0.0,24.363636,2.0,1.1818,-1
6.0,5.0,0.0,1.0,7.0,15.0,1.0,0.0,6.0,2.0,14.0,0.0,0.0,0.864865,0.458333,1.0,1.0,1.333333,1.0,0.8333,-1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
6.0,3.0,0.0,8.0,33.0,3.0,1.0,0.0,1.0,0.4,177.0,1.0,0.0,0.827586,0.4,1.0,6.0,28.333333000000003,1.0,0.8333,-1
3.0,2.0,0.0,6.0,9.0,1.0,2.0,0.0,3.0,0.0,35.0,1.0,0.0,0.666667,0.555556,1.0,1.0,10.333333,1.0,0.3333,-1
14.0,1.0,0.0,3.0,15.0,91.0,3.0,0.0,14.0,2.0,17.0,0.0,0.0,0.0,0.28571399999999997,0.0,0.0,0.214286,1.0,0.9286,-1
2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.0,0.5,-1
22.0,2.0,0.0,20.0,145.0,127.0,0.0,0.0,15.0,0.867347,1226.0,0.857143,1.0,0.545455,0.306122,2.0,2.0,54.090908999999996,10.0,2.3182,-1
