total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
82.0,26.0,9.0,0.0,47.0,55.0,12.0,91.0,132.0,67.0,223.0,937.0,0.10073,9.9273,9301.8545,0.31233,516.7697,20.0,10.0,20.0,4.0,1.0,10.0,0.21277,2.5,20.0,2.0,0.12195,0.0,-1
16.0,6.0,2.0,1.0,8.0,13.0,6.0,18.0,20.0,19.0,38.0,111.0,0.24074,4.1538,461.0769,0.037000000000000005,25.6154,2.0,1.0,1.0,0.0,0.0,2.0,0.25,0.0,1.0,0.5,0.125,1.0,-1
31.0,12.0,3.0,2.0,16.0,18.0,9.0,31.0,42.0,27.0,73.0,240.0,0.12903,7.75,1860.0,0.08,103.3333,10.0,5.0,1.0,5.0,0.0,6.0,0.375,1.0,1.0,0.16667,0.19355,0.0,-1
477.0,104.0,89.0,2.0,284.0,150.0,29.0,482.0,699.0,179.0,1181.0,6126.0,0.021462,46.5933,285430.76,2.042,15857.2644,236.0,118.0,4.0,116.0,25.0,93.0,0.32746,1.0172,4.0,0.043011,0.19497,0.0,1
11.0,2.0,0.0,0.0,9.0,10.0,4.0,15.0,17.0,14.0,32.0,84.0,0.33333,3.0,252.0,0.028,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.11111,0.0,2.0,2.0,0.090909,0.0,-1
9.0,2.0,0.0,0.0,7.0,7.0,4.0,11.0,13.0,11.0,24.0,57.0,0.31818,3.1429,179.1429,0.019,9.9524,0.0,0.0,1.0,0.0,0.0,1.0,0.14286,0.0,1.0,1.0,0.11111,0.0,-1
10.0,2.0,0.0,0.0,8.0,7.0,4.0,13.0,15.0,11.0,28.0,67.0,0.26923,3.7143,248.8571,0.022333,13.8254,0.0,0.0,2.0,0.0,0.0,1.0,0.125,0.0,2.0,2.0,0.1,0.0,-1
5.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,9.0,8.0,14.0,29.0,0.66667,1.5,43.5,0.009667,2.4167,0.0,0.0,3.0,0.0,0.0,1.0,0.2,0.0,3.0,3.0,0.2,0.0,-1
28.0,5.0,1.0,0.0,22.0,18.0,12.0,49.0,53.0,30.0,102.0,346.0,0.061224,16.3333,5651.3333,0.11533,313.963,8.0,4.0,2.0,3.0,1.0,4.0,0.18182,1.3333,2.0,0.5,0.14286,1.0,-1
26.0,6.0,0.0,0.0,20.0,16.0,11.0,41.0,44.0,27.0,85.0,280.0,0.070953,14.0938,3946.25,0.093333,219.2361,4.0,2.0,2.0,1.0,0.0,3.0,0.15,2.0,2.0,0.66667,0.11538,0.0,-1
